timestamp,source_domain,scenario_variant,shock_active,control_cadence_min,decision_refreshed,decision_reason,decision_ms,influent_flow_m3h,influent_nh3n_mgL,influent_tp_mgL,reactor_do_mgL,target_aeration_intensity_pct,actual_aeration_intensity_pct,target_chemical_dose_pac_mgL,actual_chemical_dose_pac_mgL,chemical_dose_kgph,objective,reward,effluent_risk,constraint_violation,is_feasible,pred_effluent_cod_mgL,effluent_cod_mgL_limit,pred_effluent_nh3n_mgL,effluent_nh3n_mgL_limit,pred_effluent_tp_mgL,effluent_tp_mgL_limit,pred_effluent_tn_mgL,effluent_tn_mgL_limit,predicted_compliant
2021-08-01 01:08:00,agtrup_bluekolding_2min,native_2min,False,2,True,safe_grid_refresh,2.619699982460588,1031.288,0.45,0.1,0.05,10.0,10.000162939402392,2.0,2.0000042616880767,2.0625803950277732,0.10431312700621917,-0.10431312700621917,0.0626459252286509,0.0,True,5.481623819020852,50.0,0.23136035824009216,5.0,0.010000000213084404,0.5,1.0000001792333426,15.0,True
2021-08-01 01:10:00,agtrup_bluekolding_2min,native_2min,False,2,True,safe_grid_refresh,2.7256999746896327,1077.796,0.52,0.1,0.05,10.0,10.000108626268261,2.0,2.0000028411253843,2.1555950621535747,0.10481825845654398,-0.10481825845654398,0.06315123504927625,0.0,True,5.561793821218884,50.0,0.2317941182126643,5.0,0.01000000014205627,0.5,1.000000119488895,15.0,True
2021-08-01 01:12:00,agtrup_bluekolding_2min,native_2min,False,2,True,safe_grid_refresh,2.7028999757021666,1119.744,0.54,0.16,0.05,10.0,10.000072417512174,2.0,2.0000018940835895,2.2394901208887346,0.10658228172900647,-0.10658228172900647,0.06491537723527244,0.0,True,5.710712628112911,50.0,0.23191803040458162,5.0,0.011799355850056753,0.5,1.0000000796592634,15.0,True
2021-08-01 01:14:00,agtrup_bluekolding_2min,native_2min,False,2,True,safe_grid_refresh,2.666399988811463,1157.759,0.54,0.16,0.05,10.0,10.000048278341449,2.0,2.000001262722393,2.315519461928215,0.10702430516640608,-0.10702430516640608,0.06535747994836116,0.0,True,5.7767935650241915,50.0,0.2319180080113524,5.0,0.011894394733971206,0.5,1.0000000531061757,15.0,True
2021-08-01 01:16:00,agtrup_bluekolding_2min,native_2min,False,2,True,safe_grid_refresh,2.6858000201173127,1317.043,0.29,0.13,0.05,10.0,10.000032185560967,2.0,2.0000008418149284,2.6340871087064586,0.10723310920999912,-0.10723310920999912,0.06556633684241363,0.0,True,5.974206685752849,50.0,0.23036867128424318,5.0,0.010042605648186487,0.5,1.000000035404117,15.0,True
2021-08-01 01:18:00,agtrup_bluekolding_2min,native_2min,False,2,True,safe_grid_refresh,2.5813999818637967,1222.642,0.29,0.13,0.05,10.0,10.000021457040644,2.0,2.0000005612099523,2.4452846861588586,0.10623625276337201,-0.10623625276337201,0.06456951562942612,0.0,True,5.811478382404301,50.0,0.2303686613981846,5.0,0.010000000028060499,0.5,1.0000000236027446,15.0,True
2021-08-01 01:20:00,agtrup_bluekolding_2min,native_2min,False,2,True,safe_grid_refresh,2.7000000118277967,1244.207,0.24,0.13,0.547,10.0,10.000014304693762,2.0,2.0000003741399683,2.4884144655075677,0.10147420595272219,-0.10147420595272219,0.059807492307869387,0.0,True,5.789012022795113,50.0,0.1477396423803105,5.0,0.010000000018706998,0.5,1.0000000157351632,15.0,True
2021-08-01 01:22:00,agtrup_bluekolding_2min,native_2min,False,2,True,safe_grid_refresh,2.6435000472702086,1257.012,0.16,0.09,1.095,10.0,10.000009536462509,2.0,2.0000002494266456,2.514024313532287,0.09708550144892326,-0.09708550144892326,0.05541880346346584,0.0,True,5.745325214399653,50.0,0.07405092937857816,5.0,0.010000000012471333,0.5,1.0000000104901088,15.0,True
2021-08-01 01:24:00,agtrup_bluekolding_2min,native_2min,False,2,True,safe_grid_refresh,2.744800003711134,1059.288,0.16,0.09,0.738,10.0,10.000006357641672,2.0,2.0000001662844302,2.118576176143102,0.09727665039146442,-0.09727665039146442,0.05560996284560392,0.0,True,5.447329035199313,50.0,0.1093926526160062,5.0,0.010000000008314221,0.5,1.0000000069934059,15.0,True
2021-08-01 01:26:00,agtrup_bluekolding_2min,native_2min,False,2,True,safe_grid_refresh,2.6866000262089074,955.682,0.18,0.08,0.486,10.0,10.000004238427781,2.0,2.000000110856287,1.911364105943358,0.09954109592773071,-0.09954109592773071,0.05787441534160148,0.0,True,5.298973247150671,50.0,0.1657245678587439,5.0,0.010000000005542815,0.5,1.0000000046622706,15.0,True
2021-08-01 01:28:00,agtrup_bluekolding_2min,native_2min,False,2,True,safe_grid_refresh,2.691800007596612,845.293,0.18,0.08,1.311,10.0,10.000002825618521,2.0,2.000000073904191,1.6905860624706954,0.09200449309144113,-0.09200449309144113,0.050337817145132746,0.0,True,5.009684945136729,50.0,0.06213763277215212,5.0,0.01000000000369521,0.5,1.0000000031081804,15.0,True
2021-08-01 01:30:00,agtrup_bluekolding_2min,native_2min,False,2,True,safe_grid_refresh,2.649800037033856,1536.193,0.54,0.08,1.363,10.0,10.00000188374568,2.0,2.000000049269461,3.072386075687401,0.09967627236654102,-0.09967627236654102,0.05800959951344656,0.0,True,6.194416690929276,50.0,0.06204059234764593,5.0,0.010000000002463474,0.5,1.0474021829350217,15.0,True
2021-08-01 01:32:00,agtrup_bluekolding_2min,native_2min,False,2,True,safe_grid_refresh,2.6585999876260757,1438.886,0.54,0.12,0.631,10.0,10.000001255830453,2.0,2.0000000328463075,2.877772047262092,0.10273348033375723,-0.10273348033375723,0.06106680954280536,0.0,True,6.11451911448403,50.0,0.13012941961776536,5.0,0.010000000001642315,0.5,1.0243706130431673,15.0,True
