timestamp,actual_bod_proxy_mgL,actual_nh3_mgL,actual_tn_mgL,baseline_kla_d1,baseline_nrr_m3h,steady_kla_d1,steady_nrr_m3h,dynamic_kla_d1,dynamic_nrr_m3h,baseline_energy,steady_energy,dynamic_energy,baseline_pred_bod_proxy_mgL,baseline_pred_nh3_mgL,baseline_pred_tn_mgL,steady_pred_bod_proxy_mgL,steady_pred_nh3_mgL,steady_pred_tn_mgL,dynamic_pred_bod_proxy_mgL,dynamic_pred_nh3_mgL,dynamic_pred_tn_mgL,gamma_used,baseline_is_compliant,steady_is_compliant,dynamic_is_compliant
2025-07-06 11:30:00,2.3235835,0.09,2.99391,86.09030849516503,7371.549311088853,90.0,5040.0,75.37575059484011,9245.186344319874,0.8839354682543612,0.841494218926497,0.8751667278419896,2.3235835,0.09,2.99391,2.3235835,0.09,3.7188330849869633,2.5353929847316357,0.0,1.8247584330312174,0.8999999999999999,True,True,True
2025-07-06 12:00:00,2.3325259999999997,0.09,2.7695600000000002,81.9762565527674,7571.311818416781,90.0,5040.0,73.28811663905174,8778.879697196155,0.8615281206629857,0.8365250359746529,0.8481086689885993,2.3325259999999997,0.09,2.7695600000000002,2.3325259999999997,0.09,3.495944410289356,2.5443354847316355,0.0,1.6001150170755822,0.8999999999999999,True,True,True
2025-07-06 12:30:00,2.3414685,0.09,2.54521,83.67567040151002,7394.608027211202,90.0,5040.0,80.14511763956982,9056.813322964661,0.8782063295564633,0.8492744354882661,0.9039890703565885,2.3414685,0.09,2.54521,2.3414685,0.09,3.2728797406844334,2.553277984731636,0.0,1.375413819512688,0.8999999999999999,True,True,True
2025-07-06 13:00:00,2.3414685,0.09,2.54521,85.37508425025266,7217.904236005624,90.0,5040.0,78.27191476079375,9016.744107993256,0.8952771322183419,0.8620238350018792,0.9035271510562277,2.3414685,0.09,2.54521,2.3414685,0.09,3.273999858383738,2.553277984731636,0.0,1.3750896043113123,0.8999999999999999,True,True,True
2025-07-06 13:30:00,2.3414685,0.09,2.54521,84.47078947214459,6962.626583775293,90.0,5040.0,87.43053790288998,9261.68900876977,0.8868065538090761,0.8660987200926737,0.9679036529689334,2.3414685,0.09,2.54521,2.3414685,0.09,3.2750120559544715,2.553277984731636,0.0,1.3746519921569516,0.8999999999999999,True,True,True
2025-07-06 14:00:00,2.384291,0.09,2.8818099999999998,83.5664946940365,6707.3489315449615,90.0,5040.0,105.7987804033514,9283.39625942921,0.8782762703010119,0.8701736051834682,1.0812105717343954,2.384291,0.09,2.8818099999999998,2.384291,0.09,3.6125101976412,2.596100484731636,0.0,1.7102802315650822,0.8999999999999999,True,True,True
2025-07-06 14:30:00,2.4271135,0.09,3.21841,83.17869715681329,6964.508008200157,90.0,5040.0,89.29704221610801,9240.900421165148,0.8771277710169206,0.8637766100398514,0.9760115773595336,2.4271135,0.09,3.21841,2.4271135,0.09,3.951233405554901,2.638922984731636,0.0,2.0458189585851994,0.8999999999999999,True,True,True
2025-07-06 15:00:00,2.4271135,0.09,3.21841,82.79089961959008,7221.667084855353,90.0,5040.0,77.91984885079462,8043.8488083814445,0.8760271652837198,0.8573796148962345,0.8705705150679004,2.4271135,0.09,3.21841,2.4271135,0.09,3.9538404196578716,2.638922984731636,0.0,2.045357356831819,0.8999999999999999,True,True,True
2025-07-06 15:30:00,2.4271135,0.09,3.21841,82.63587677800462,7237.474179481722,90.0,5040.0,84.47230437719098,9315.736939101225,0.8711296944676246,0.8526622464403493,0.9392637092278335,2.4271135,0.09,3.21841,2.4271135,0.09,3.9564644831898588,2.638922984731636,0.0,2.044209361546744,0.8999999999999999,True,True,True
2025-07-06 16:00:00,2.4957135,0.09,3.22626,82.48085393641917,7253.281274108092,90.0,5040.0,75.67793714367717,8025.036020764653,0.866244032192913,0.8479448779844643,0.8487134101932148,2.4957135,0.09,3.22626,2.4957135,0.09,3.9669555830381675,2.7075229847316358,0.0,2.0516288202843844,0.8999999999999999,True,True,True
2025-07-06 16:30:00,2.5643135,0.09,3.23411,81.24410623112783,7105.206425363556,90.0,5040.0,92.7441456932388,9261.264814239214,0.8197762751549784,0.8099213064150699,0.9416756462632869,2.5643135,0.09,3.23411,2.5643135,0.09,3.977299261312932,2.7761229847316358,0.0,2.0582661581905226,0.8999999999999999,True,True,True
2025-07-06 17:00:00,2.5643135,0.09,3.23411,80.00735852583651,6957.131576619021,90.0,5040.0,75.77532740746798,9279.178612532944,0.7740797280033891,0.7718977348456755,0.8168293759102365,2.5643135,0.09,3.23411,2.5643135,0.09,3.979641303569317,2.7761229847316358,0.0,2.054671556172188,0.8999999999999999,True,True,True
2025-07-06 17:30:00,2.5643135,0.09,3.23411,82.89612814340026,7071.150691567951,90.0,5040.0,78.28276373398432,9183.156435176454,0.8130726274111333,0.7942953401108505,0.8472290488376959,2.5643135,0.09,3.23411,2.5643135,0.09,3.9862923524244933,2.7761229847316358,0.0,2.051449055273668,0.8999999999999999,True,True,True
2025-07-06 18:00:00,2.5740084999999997,0.09,3.20061,85.784897760964,7185.169806516881,90.0,5040.0,73.99462313884023,9035.213693573492,0.8531083191221707,0.8166929453760254,0.8400164207301223,2.5740084999999997,0.09,3.20061,2.5740084999999997,0.09,3.9597795733940364,2.7858179847316356,0.0,2.0151652626309824,0.8999999999999999,True,True,True
2025-07-06 18:30:00,2.5837035,0.09,3.16711,86.08612688601065,7403.718110131523,90.0,5040.0,93.32376009199334,9073.182401276801,0.8848057757030051,0.841400070820603,0.9718426079850426,2.5837035,0.09,3.16711,2.5837035,0.09,3.933806915432121,2.795512984731636,0.0,1.9792787387720017,0.8999999999999999,True,True,True
2025-07-06 19:00:00,2.5837035,0.09,3.16711,86.38735601105728,7622.266413746165,90.0,5040.0,82.68718121180362,9332.227503888194,0.9166119704162322,0.8661071962651804,0.9424473457216502,2.5837035,0.09,3.16711,2.5837035,0.09,3.941844710461633,2.795512984731636,0.0,1.9769669507521224,0.8999999999999999,True,True,True
2025-07-06 19:30:00,2.5837035,0.09,3.16711,85.55151541510067,7479.496158426115,90.0,5040.0,80.24406284928324,9333.98590500252,0.875144939608383,0.8322889134609532,0.8970266490528118,2.5837035,0.09,3.16711,2.5837035,0.09,3.949524797441485,2.795512984731636,0.0,1.974417930841697,0.8999999999999999,True,True,True
2025-07-06 20:00:00,2.5793985,0.09,3.03946,84.71567481914406,7336.725903106065,90.0,5040.0,75.86699288957868,9251.29403814314,0.8341168118193721,0.7984706306567262,0.8403148156153883,2.5793985,0.09,3.03946,2.5793985,0.09,3.8291865091202175,2.791207984731636,0.0,1.8447993886479903,0.8999999999999999,True,True,True
2025-07-06 20:30:00,2.5750935,0.09,2.91181,87.70448610192946,7578.571985830082,90.0,5040.0,78.36912220746133,9162.723381143052,0.8690584167767735,0.8111705917842167,0.862413381959677,2.5750935,0.09,2.91181,2.5750935,0.09,3.707172023378932,2.786902984731636,0.0,1.7157077001283176,0.8999999999999999,True,True,True
2025-07-06 21:00:00,2.5750935,0.09,2.91181,90.69329738471485,7820.4180685541,90.0,5040.0,85.07706907749628,9357.09789944933,0.9047145199489276,0.823870552911707,0.9162106151487508,2.5750935,0.09,2.91181,2.5750935,0.09,3.713005978922022,2.786902984731636,0.0,1.7144931897551254,0.8999999999999999,True,True,True
2025-07-06 21:30:00,2.5750935,0.09,2.91181,86.07848893874916,7177.33768550322,90.0,5040.0,88.230942405696,9047.977603522388,0.8547613105106333,0.8170381893608631,0.9183594018602029,2.5750935,0.09,2.91181,2.5750935,0.09,3.717736053411633,2.786902984731636,0.0,1.712827530285957,0.8999999999999999,True,True,True
2025-07-06 22:00:00,2.5716635,0.09,2.88086,81.46368049278345,6534.25730245234,90.0,5040.0,101.43608613752966,8961.51602788597,0.8053178452181259,0.8102058258100194,0.9808135031391788,2.5716635,0.09,2.88086,2.5716635,0.09,3.690265627781895,2.783472984731636,0.0,1.679474913575388,0.8999999999999999,True,True,True
2025-07-06 22:30:00,2.5682335,0.09,2.84991,83.99983409739474,6349.114317365535,90.0,5040.0,84.80715248696559,9327.741792204219,0.80922928670115,0.8051655981808185,0.8960599761544132,2.5682335,0.09,2.84991,2.5682335,0.09,3.662381509051812,2.7800429847316357,0.0,1.6455680990795436,0.8999999999999999,True,True,True
2025-07-06 23:00:00,2.5682335,0.09,2.84991,86.53598770200604,6163.971332278729,90.0,5040.0,87.18967646341096,9244.891707066005,0.8128605888310672,0.8001253705516176,0.9016640543682307,2.5682335,0.09,2.84991,2.5682335,0.09,3.6650285000737255,2.7800429847316357,0.0,1.6433450421012492,0.8999999999999999,True,True,True
2025-07-06 23:30:00,2.5682335,0.09,2.84991,84.31539357015893,6282.1122818794665,90.0,5040.0,75.22901394750907,8995.39701311356,0.8028490079408913,0.7985642324392308,0.8298576407990004,2.5682335,0.09,2.84991,2.5682335,0.09,3.6671223045403676,2.7800429847316357,0.0,1.641421963647633,0.8999999999999999,True,True,True
2025-07-07 00:00:00,2.5660809999999996,0.09,3.00486,82.09479943831184,6400.253231480205,90.0,5040.0,94.1123480853101,8951.527090495088,0.792891882399746,0.7970030943268439,0.9270779226064749,2.5660809999999996,0.09,3.00486,2.5660809999999996,0.09,3.8243458578234817,2.7778904847316355,0.0,1.794599837251677,0.8999999999999999,True,True,True
2025-07-07 00:30:00,2.5639285,0.09,3.15981,82.41328574571286,6456.735338448354,90.0,5040.0,75.40554722192908,9306.919864263671,0.7961465362518523,0.7971316173874166,0.8379333250043665,2.5639285,0.09,3.15981,2.5639285,0.09,3.98176287197456,2.7757379847316357,0.0,1.9473905983352497,0.8999999999999999,True,True,True
2025-07-07 01:00:00,2.5639285,0.09,3.15981,82.73177205311387,6513.217445416502,90.0,5040.0,75.97870156885428,9165.725581370047,0.7994114110488928,0.7972601404479891,0.8369650413008369,2.5639285,0.09,3.15981,2.5639285,0.09,3.9844312635432364,2.7757379847316357,0.0,1.9452048370851094,0.8999999999999999,True,True,True
2025-07-07 01:30:00,2.5639285,0.09,3.15981,83.29998142463305,6702.514840271985,90.0,5040.0,75.736612867362,9184.26938668761,0.8078382424952979,0.797431566826292,0.8363428777341714,2.5639285,0.09,3.15981,2.5639285,0.09,3.987404091408919,2.7757379847316357,0.0,1.943216385622383,0.8999999999999999,True,True,True
2025-07-07 02:00:00,2.632721,0.105,3.1518100000000002,83.8681907961522,6891.812235127468,90.0,5040.0,77.2775664257296,9348.815931695768,0.8162666492195125,0.7976029932045948,0.849251017649607,2.632721,0.105,3.1518100000000002,2.632721,0.105,3.9826730374667707,2.844530484731636,0.015,1.9331580447428196,0.8999999999999999,True,True,True
2025-07-07 02:30:00,2.7015135,0.12,3.14381,86.58769083978112,6808.353141144721,90.0,5040.0,85.8463636381883,9347.82194706359,0.8228987589303782,0.7919559299270409,0.8893161490872372,2.7015135,0.12,3.14381,2.7015135,0.12,3.9780381113138423,2.9133229847316358,0.03,1.923037737536605,0.8999999999999999,True,True,True
2025-07-07 03:00:00,2.7015135,0.12,3.14381,89.30719088341003,6724.894047161974,90.0,5040.0,80.00885871055702,9358.050463441723,0.8293381258697391,0.7863088666494868,0.8534533316531014,2.7015135,0.12,3.14381,2.7015135,0.12,3.981245690376426,2.9133229847316358,0.03,1.9208469377923925,0.8999999999999999,True,True,True
2025-07-07 03:30:00,2.7015135,0.12,3.14381,90.48333677893399,6678.342772570891,90.0,5040.0,75.93478370227403,9343.843835662712,0.7979280682358305,0.7501553557867653,0.7996458416682748,2.7015135,0.12,3.14381,2.7015135,0.12,3.9843718274949316,2.9133229847316358,0.03,1.9186262279463981,0.8999999999999999,True,True,True
2025-07-07 04:00:00,2.7133434999999997,0.175,3.24151,91.65948267445795,6631.791497979807,90.0,5040.0,88.23387686935325,9338.985732781397,0.7658276469227028,0.7140018449240438,0.8248353609065279,2.7133434999999997,0.175,3.24151,2.7133434999999997,0.175,4.085116052717302,2.9251529847316355,0.08499999999999999,2.0140679917276967,0.8999999999999999,True,True,True
2025-07-07 04:30:00,2.7251735,0.23,3.33921,89.74133718096026,6768.753447258492,90.0,5040.0,76.89412681573108,9199.660897787322,0.7788424889156238,0.7321974765036855,0.7847724586931145,2.7251735,0.23,3.33921,2.7251735,0.23,4.186133537846507,2.9369829847316358,0.14,2.109725151492622,0.8999999999999999,True,True,True
